user_id,event_type,product_id,category,price,event_time,device,location
1127,view,P102,Electronics,3469,2026-01-01 00:00:00,mobile,Mumbai
861,add_to_cart,P102,Electronics,8083,2026-01-01 00:01:00,mobile,Mumbai
1131,add_to_cart,P104,Beauty,11988,2026-01-01 00:02:00,desktop,Pune
1096,checkout,P101,Clothing,19895,2026-01-01 00:03:00,mobile,Delhi
1045,checkout,P103,Clothing,5735,2026-01-01 00:04:00,desktop,Mumbai
122,view,P104,Beauty,4169,2026-01-01 00:05:00,mobile,Delhi
467,purchase,P105,Beauty,6351,2026-01-01 00:06:00,desktop,Delhi
331,view,P103,Beauty,11679,2026-01-01 00:07:00,mobile,Pune
88,checkout,P101,Electronics,19669,2026-01-01 00:08:00,desktop,Delhi
1124,purchase,P101,Beauty,19722,2026-01-01 00:09:00,mobile,Delhi
872,view,P102,Electronics,5837,2026-01-01 00:10:00,mobile,Pune
131,checkout,P104,Beauty,9539,2026-01-01 00:11:00,desktop,Bangalore
770,view,P105,Clothing,2673,2026-01-01 00:12:00,desktop,Mumbai
344,add_to_cart,P103,Clothing,225,2026-01-01 00:13:00,mobile,Mumbai
806,add_to_cart,P101,Beauty,9521,2026-01-01 00:14:00,mobile,Delhi
386,add_to_cart,P103,Beauty,11503,2026-01-01 00:15:00,mobile,Bangalore
956,purchase,P105,Electronics,1406,2026-01-01 00:16:00,mobile,Pune
277,add_to_cart,P103,Grocery,2201,2026-01-01 00:17:00,desktop,Delhi
1185,add_to_cart,P104,Electronics,14781,2026-01-01 00:18:00,mobile,Pune
460,checkout,P102,Clothing,235,2026-01-01 00:19:00,mobile,Mumbai
22,purchase,P103,Beauty,7411,2026-01-01 00:20:00,mobile,Pune
253,view,P102,Clothing,17943,2026-01-01 00:21:00,mobile,Mumbai
748,purchase,P105,Grocery,912,2026-01-01 00:22:00,desktop,Pune
857,view,P102,Electronics,10230,2026-01-01 00:23:00,desktop,Pune
475,checkout,P103,Clothing,17354,2026-01-01 00:24:00,mobile,Bangalore
1083,view,P103,Electronics,15327,2026-01-01 00:25:00,desktop,Pune
511,view,P101,Beauty,13860,2026-01-01 00:26:00,mobile,Delhi
700,add_to_cart,P103,Clothing,8926,2026-01-01 00:27:00,mobile,Bangalore
976,add_to_cart,P102,Grocery,14039,2026-01-01 00:28:00,mobile,Delhi
190,view,P101,Electronics,768,2026-01-01 00:29:00,mobile,Pune
958,view,P103,Electronics,17777,2026-01-01 00:30:00,mobile,Pune
687,add_to_cart,P103,Grocery,8560,2026-01-01 00:31:00,mobile,Bangalore
958,purchase,P105,Clothing,8773,2026-01-01 00:32:00,desktop,Mumbai
563,view,P101,Clothing,3490,2026-01-01 00:33:00,desktop,Bangalore
832,view,P105,Electronics,9553,2026-01-01 00:34:00,desktop,Mumbai
1155,add_to_cart,P105,Grocery,16004,2026-01-01 00:35:00,mobile,Mumbai
647,view,P105,Electronics,15496,2026-01-01 00:36:00,mobile,Pune
21,checkout,P104,Electronics,4434,2026-01-01 00:37:00,mobile,Delhi
841,checkout,P105,Beauty,16385,2026-01-01 00:38:00,mobile,Bangalore
167,add_to_cart,P102,Clothing,2335,2026-01-01 00:39:00,mobile,Bangalore
388,view,P103,Clothing,5119,2026-01-01 00:40:00,mobile,Pune
601,checkout,P104,Beauty,19061,2026-01-01 00:41:00,mobile,Pune
316,add_to_cart,P105,Clothing,775,2026-01-01 00:42:00,mobile,Bangalore
14,checkout,P103,Clothing,18923,2026-01-01 00:43:00,mobile,Bangalore
242,add_to_cart,P101,Clothing,9973,2026-01-01 00:44:00,mobile,Delhi
777,checkout,P101,Grocery,5687,2026-01-01 00:45:00,mobile,Pune
565,add_to_cart,P103,Beauty,6045,2026-01-01 00:46:00,mobile,Delhi
898,add_to_cart,P102,Electronics,4867,2026-01-01 00:47:00,desktop,Pune
92,purchase,P103,Grocery,7104,2026-01-01 00:48:00,mobile,Pune
956,add_to_cart,P103,Electronics,7828,2026-01-01 00:49:00,desktop,Delhi
509,add_to_cart,P104,Beauty,6709,2026-01-01 00:50:00,mobile,Mumbai
776,view,P101,Beauty,7231,2026-01-01 00:51:00,mobile,Mumbai
35,add_to_cart,P101,Beauty,17796,2026-01-01 00:52:00,desktop,Mumbai
206,add_to_cart,P105,Clothing,4199,2026-01-01 00:53:00,mobile,Pune
1105,view,P103,Grocery,18138,2026-01-01 00:54:00,mobile,Delhi
1026,view,P103,Beauty,15959,2026-01-01 00:55:00,desktop,Mumbai
1022,add_to_cart,P102,Electronics,15682,2026-01-01 00:56:00,mobile,Bangalore
566,checkout,P101,Clothing,17769,2026-01-01 00:57:00,mobile,Mumbai
1130,add_to_cart,P102,Clothing,11739,2026-01-01 00:58:00,desktop,Delhi
703,view,P104,Grocery,5280,2026-01-01 00:59:00,desktop,Pune
402,add_to_cart,P105,Grocery,17863,2026-01-01 01:00:00,mobile,Delhi
730,view,P102,Grocery,16292,2026-01-01 01:01:00,mobile,Pune
162,add_to_cart,P101,Clothing,17129,2026-01-01 01:02:00,desktop,Delhi
202,view,P104,Beauty,5512,2026-01-01 01:03:00,mobile,Delhi
996,view,P103,Electronics,4752,2026-01-01 01:04:00,mobile,Bangalore
270,view,P104,Beauty,6934,2026-01-01 01:05:00,mobile,Mumbai
816,view,P102,Electronics,4551,2026-01-01 01:06:00,desktop,Mumbai
456,view,P101,Beauty,7184,2026-01-01 01:07:00,mobile,Delhi
1017,view,P102,Grocery,12962,2026-01-01 01:08:00,desktop,Mumbai
296,add_to_cart,P103,Electronics,14792,2026-01-01 01:09:00,mobile,Bangalore
720,add_to_cart,P103,Clothing,16848,2026-01-01 01:10:00,mobile,Delhi
338,view,P101,Electronics,2755,2026-01-01 01:11:00,desktop,Mumbai
879,checkout,P105,Clothing,7533,2026-01-01 01:12:00,desktop,Mumbai
1077,view,P104,Beauty,1414,2026-01-01 01:13:00,mobile,Pune
792,add_to_cart,P104,Grocery,15002,2026-01-01 01:14:00,mobile,Mumbai
217,view,P103,Electronics,5372,2026-01-01 01:15:00,desktop,Mumbai
764,view,P102,Clothing,318,2026-01-01 01:16:00,mobile,Pune
188,add_to_cart,P102,Beauty,4803,2026-01-01 01:17:00,mobile,Delhi
380,add_to_cart,P105,Grocery,16094,2026-01-01 01:18:00,mobile,Delhi
493,checkout,P102,Grocery,1639,2026-01-01 01:19:00,desktop,Bangalore
1065,add_to_cart,P104,Grocery,19917,2026-01-01 01:20:00,desktop,Pune
1181,purchase,P102,Beauty,13245,2026-01-01 01:21:00,desktop,Delhi
15,view,P105,Beauty,18086,2026-01-01 01:22:00,mobile,Mumbai
65,view,P104,Beauty,19188,2026-01-01 01:23:00,mobile,Mumbai
521,view,P102,Grocery,5164,2026-01-01 01:24:00,mobile,Mumbai
1153,view,P104,Electronics,13888,2026-01-01 01:25:00,mobile,Bangalore
648,add_to_cart,P103,Clothing,17589,2026-01-01 01:26:00,mobile,Delhi
1087,add_to_cart,P103,Beauty,11703,2026-01-01 01:27:00,mobile,Pune
1163,view,P103,Electronics,2588,2026-01-01 01:28:00,mobile,Delhi
593,purchase,P102,Clothing,18902,2026-01-01 01:29:00,mobile,Pune
392,checkout,P105,Grocery,16511,2026-01-01 01:30:00,mobile,Pune
419,view,P104,Electronics,8307,2026-01-01 01:31:00,desktop,Delhi
289,view,P101,Grocery,12870,2026-01-01 01:32:00,mobile,Mumbai
379,view,P103,Clothing,8077,2026-01-01 01:33:00,mobile,Mumbai
231,view,P103,Beauty,4761,2026-01-01 01:34:00,mobile,Pune
1018,view,P101,Grocery,4649,2026-01-01 01:35:00,desktop,Mumbai
41,add_to_cart,P101,Electronics,15129,2026-01-01 01:36:00,mobile,Bangalore
1052,view,P102,Beauty,5073,2026-01-01 01:37:00,mobile,Bangalore
135,view,P104,Electronics,8536,2026-01-01 01:38:00,mobile,Pune
201,purchase,P103,Clothing,10186,2026-01-01 01:39:00,mobile,Mumbai
780,add_to_cart,P105,Clothing,17840,2026-01-01 01:40:00,desktop,Pune
930,purchase,P102,Beauty,19951,2026-01-01 01:41:00,mobile,Bangalore
1057,view,P102,Electronics,7064,2026-01-01 01:42:00,mobile,Bangalore
1072,view,P105,Electronics,14942,2026-01-01 01:43:00,mobile,Bangalore
503,add_to_cart,P105,Electronics,1845,2026-01-01 01:44:00,mobile,Delhi
407,view,P105,Electronics,12797,2026-01-01 01:45:00,mobile,Bangalore
805,view,P101,Clothing,3979,2026-01-01 01:46:00,mobile,Mumbai
99,add_to_cart,P103,Electronics,18599,2026-01-01 01:47:00,desktop,Delhi
684,add_to_cart,P101,Clothing,2367,2026-01-01 01:48:00,desktop,Bangalore
726,add_to_cart,P103,Electronics,18751,2026-01-01 01:49:00,desktop,Mumbai
961,add_to_cart,P101,Electronics,9788,2026-01-01 01:50:00,mobile,Bangalore
613,add_to_cart,P104,Grocery,15165,2026-01-01 01:51:00,mobile,Mumbai
643,view,P103,Grocery,11088,2026-01-01 01:52:00,mobile,Mumbai
1029,view,P102,Electronics,4581,2026-01-01 01:53:00,mobile,Bangalore
503,view,P103,Clothing,1029,2026-01-01 01:54:00,mobile,Bangalore
767,view,P103,Electronics,7873,2026-01-01 01:55:00,desktop,Delhi
398,purchase,P103,Grocery,3424,2026-01-01 01:56:00,mobile,Bangalore
871,add_to_cart,P104,Electronics,4687,2026-01-01 01:57:00,desktop,Mumbai
795,checkout,P101,Grocery,456,2026-01-01 01:58:00,mobile,Pune
393,view,P102,Electronics,15887,2026-01-01 01:59:00,mobile,Delhi
207,view,P101,Beauty,5599,2026-01-01 02:00:00,mobile,Mumbai
1039,view,P101,Electronics,3941,2026-01-01 02:01:00,mobile,Mumbai
892,view,P105,Clothing,12222,2026-01-01 02:02:00,mobile,Pune
864,view,P104,Grocery,13509,2026-01-01 02:03:00,desktop,Bangalore
